gay2016,gay2020,imm2016,imm2020,temp2016,temp2020,abort2016,abort2020
union,marry,stay,stay,,more,choice,exceptions
marry,union,stay,stay,,right,choice,need
marry,union,stay,stay,more,less,choice,choice
union,marry,stay,stay,right,more,exceptions,choice
union,marry,restrict,stay,less,right,choice,choice
union,union,stay,stay,more,more,never,exceptions
marry,marry,deport,restrict,more,more,choice,choice
marry,marry,restrict,restrict,more,more,choice,choice
union,marry,deport,deport,less,right,never,exceptions
union,union,citizen,deport,right,more,need,need
union,union,restrict,stay,less,less,need,need
marry,marry,deport,stay,right,more,choice,choice
no,no,restrict,citizen,less,less,exceptions,never
marry,marry,stay,stay,right,more,choice,choice
marry,marry,stay,stay,right,more,choice,choice
marry,marry,stay,stay,right,more,need,choice
marry,marry,stay,stay,right,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,citizen,more,more,choice,choice
marry,marry,stay,stay,less,less,choice,
no,no,stay,stay,less,right,exceptions,
marry,marry,stay,citizen,more,right,never,
no,marry,stay,stay,less,less,never,never
marry,no,deport,stay,right,right,never,exceptions
marry,marry,stay,deport,more,more,choice,choice
marry,marry,stay,stay,right,more,choice,choice
no,,deport,stay,right,right,,exceptions
marry,marry,stay,stay,more,more,choice,choice
no,no,stay,restrict,right,right,never,exceptions
union,union,stay,restrict,less,right,exceptions,need
union,marry,stay,stay,more,more,choice,choice
marry,marry,deport,stay,right,right,exceptions,exceptions
union,marry,deport,stay,more,more,choice,choice
union,union,stay,stay,more,more,exceptions,exceptions
no,union,stay,stay,more,more,need,exceptions
union,marry,stay,deport,right,more,need,need
marry,marry,stay,stay,,more,need,choice
marry,marry,restrict,stay,less,right,need,choice
marry,marry,restrict,stay,right,more,choice,
union,marry,citizen,stay,right,right,exceptions,choice
union,no,restrict,restrict,more,right,exceptions,never
marry,marry,stay,stay,right,right,need,choice
marry,no,deport,citizen,right,more,never,choice
marry,no,stay,stay,right,more,choice,choice
marry,union,stay,stay,less,less,exceptions,exceptions
marry,marry,stay,citizen,more,more,need,exceptions
marry,marry,stay,stay,right,right,exceptions,choice
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,restrict,right,right,choice,choice
